1.36,MBytes,11.4,Mbits/sec,11.4,501
752,KBytes,6.16,Mbits/sec,6.16,502
1.29,MBytes,10.8,Mbits/sec,10.8,503
1.03,MBytes,8.6,Mbits/sec,8.6,504
1.08,MBytes,9.03,Mbits/sec,9.03,505
1.17,MBytes,9.81,Mbits/sec,9.81,506
931,KBytes,7.63,Mbits/sec,7.63,507
595,KBytes,4.87,Mbits/sec,4.87,508
579,KBytes,4.74,Mbits/sec,4.74,509
998,KBytes,8.18,Mbits/sec,8.18,510
985,KBytes,8.07,Mbits/sec,8.07,511
603,KBytes,4.94,Mbits/sec,4.94,512
833,KBytes,6.82,Mbits/sec,6.82,513
960,KBytes,7.86,Mbits/sec,7.86,514
1.03,MBytes,8.6,Mbits/sec,8.6,515
1.12,MBytes,9.38,Mbits/sec,9.38,516
652,KBytes,5.34,Mbits/sec,5.34,517
612,KBytes,5.02,Mbits/sec,5.02,518
975,KBytes,7.98,Mbits/sec,7.98,519
739,KBytes,6.05,Mbits/sec,6.05,520
759,KBytes,6.22,Mbits/sec,6.22,521
960,KBytes,7.86,Mbits/sec,7.86,522
1.13,MBytes,9.5,Mbits/sec,9.5,523
1.14,MBytes,9.53,Mbits/sec,9.53,524
1.51,MBytes,12.7,Mbits/sec,12.7,525
1.34,MBytes,11.2,Mbits/sec,11.2,526
1.56,MBytes,13.1,Mbits/sec,13.1,527
1.45,MBytes,12.2,Mbits/sec,12.2,528
1.31,MBytes,11,Mbits/sec,11,529
1.2,MBytes,10.1,Mbits/sec,10.1,530
1.79,MBytes,15,Mbits/sec,15,531
1.6,MBytes,13.4,Mbits/sec,13.4,532
1.27,MBytes,10.6,Mbits/sec,10.6,533
1.48,MBytes,12.4,Mbits/sec,12.4,534
1.16,MBytes,9.75,Mbits/sec,9.75,535
975,KBytes,7.98,Mbits/sec,7.98,536
829,KBytes,6.79,Mbits/sec,6.79,537
986,KBytes,8.08,Mbits/sec,8.08,538
1.06,MBytes,8.87,Mbits/sec,8.87,539
1019,KBytes,8.35,Mbits/sec,8.35,540
844,KBytes,6.91,Mbits/sec,6.91,541
1.44,MBytes,12.1,Mbits/sec,12.1,542
1.18,MBytes,9.9,Mbits/sec,9.9,543
1010,KBytes,8.28,Mbits/sec,8.28,544
1.22,MBytes,10.2,Mbits/sec,10.2,545
1.08,MBytes,9.09,Mbits/sec,9.09,546
1.02,MBytes,8.54,Mbits/sec,8.54,547
1.62,MBytes,13.6,Mbits/sec,13.6,548
1.51,MBytes,12.6,Mbits/sec,12.6,549
1.03,MBytes,8.64,Mbits/sec,8.64,550
1,MBytes,8.43,Mbits/sec,8.43,551
1.11,MBytes,9.34,Mbits/sec,9.34,552
1.44,MBytes,12,Mbits/sec,12,553
1.61,MBytes,13.5,Mbits/sec,13.5,554
1.12,MBytes,9.36,Mbits/sec,9.36,555
1.02,MBytes,8.56,Mbits/sec,8.56,556
1.22,MBytes,10.2,Mbits/sec,10.2,557
1.82,MBytes,15.3,Mbits/sec,15.3,558
2.02,MBytes,16.9,Mbits/sec,16.9,559
2.06,MBytes,17.3,Mbits/sec,17.3,560
1.95,MBytes,16.4,Mbits/sec,16.4,561
1.66,MBytes,13.9,Mbits/sec,13.9,562
1.64,MBytes,13.8,Mbits/sec,13.8,563
1.63,MBytes,13.7,Mbits/sec,13.7,564
1.75,MBytes,14.7,Mbits/sec,14.7,565
1.28,MBytes,10.8,Mbits/sec,10.8,566
1.27,MBytes,10.7,Mbits/sec,10.7,567
996,KBytes,8.16,Mbits/sec,8.16,568
939,KBytes,7.69,Mbits/sec,7.69,569
922,KBytes,7.55,Mbits/sec,7.55,570
235,KBytes,1.93,Mbits/sec,1.93,571
420,KBytes,3.45,Mbits/sec,3.45,572
340,KBytes,2.78,Mbits/sec,2.78,573
249,KBytes,2.04,Mbits/sec,2.04,574
419,KBytes,3.43,Mbits/sec,3.43,575
96.5,KBytes,791,Kbits/sec,0.791,576
298,KBytes,2.44,Mbits/sec,2.44,577
